                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2622,                0.85152,                 1.2106,                0.57414,                0.39902,                0.45212,                0.18745,                 2.2709,                 1.7549,                 1.6678,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.2202,                 0.8318,                  1.213,                0.49309,                0.42848,                0.41561,                0.14906,                 2.3656,                 1.4863,                  1.795,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.2139,                0.83345,                 1.2122,                0.53501,                0.44074,                0.45805,                0.19108,                 2.0632,                 1.5148,                 1.5646,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.2069,                0.82891,                 1.2076,                0.30491,                0.21608,                0.18578,                0.06157,                 2.7064,                 2.0992,                 2.0431,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.2303,                0.83725,                  1.205,                0.48596,                0.28361,                0.29306,                0.12799,                 2.2694,                 1.7351,                 1.7558,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.2222,                0.81622,                 1.2125,                0.37696,                 0.3585,                0.28541,                0.10359,                 2.3561,                 2.0905,                 1.8026,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.1707,                0.79284,                 1.1888,                0.54719,                0.43892,                0.40925,                0.16614,                  2.155,                 1.5567,                 1.6478,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.1597,                0.79697,                 1.1825,                0.56886,                0.42296,                 0.4374,                0.18724,                  2.111,                 1.5064,                 1.6061,               0.001868,               0.001868,               0.001868
                     43,                 1.1707,                0.78327,                 1.1819,                0.60663,                0.43033,                0.48326,                0.20827,                 2.0702,                 1.3212,                 1.5756,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.1561,                 0.7854,                 1.1799,                0.62693,                 0.4343,                0.48618,                0.22291,                  1.953,                 1.3164,                 1.5031,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.1436,                0.76128,                 1.1642,                   0.55,                 0.4113,                0.43796,                0.19935,                 2.0452,                 1.3893,                 1.6385,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.1558,                0.77387,                 1.1684,                0.54091,                0.44771,                 0.4625,                0.20091,                 2.0078,                 1.3524,                  1.566,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.1537,                0.77141,                 1.1868,                0.59447,                0.44199,                0.46894,                0.21516,                 1.9489,                 1.3391,                 1.5136,              0.0018515,              0.0018515,              0.0018515
                     48,                 1.1431,                0.76525,                 1.1614,                0.50251,                0.41682,                0.41322,                0.17992,                 2.0511,                 1.6984,                 1.5814,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.2008,                0.79564,                 1.1872,                 0.6113,                0.46593,                0.48276,                0.17955,                 2.2861,                 1.3947,                 1.6707,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.1322,                0.75083,                 1.1538,                0.52883,                0.46286,                 0.4294,                0.17173,                 2.1618,                 1.5029,                 1.6128,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.1251,                0.75149,                 1.1601,                0.59834,                0.45549,                0.49934,                0.23819,                 1.8862,                 1.2703,                 1.4922,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.1394,                 0.7458,                 1.1513,                0.52549,                0.39165,                0.40774,                0.18478,                 2.1452,                 1.4977,                 1.6553,               0.001835,               0.001835,               0.001835
                     53,                 1.1409,                0.74461,                 1.1677,                0.59766,                0.44813,                0.49211,                0.21709,                 2.0444,                 1.3633,                 1.5631,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.1351,                0.75397,                 1.1638,                  0.478,                0.45365,                0.43563,                 0.1802,                 2.0843,                 1.5716,                 1.6159,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.0922,                0.72726,                 1.1371,                0.61446,                0.46163,                0.50116,                0.22019,                 2.0876,                 1.3178,                 1.5844,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.0991,                0.72954,                 1.1397,                0.56457,                0.39081,                0.42244,                0.17862,                 2.1931,                 1.3716,                 1.6805,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.1244,                0.74873,                 1.1518,                0.50641,                0.42764,                0.43328,                0.19998,                 1.9938,                 1.5136,                 1.5726,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.1118,                0.73965,                  1.145,                 0.6762,                0.51151,                0.56562,                0.27546,                 1.8021,                  1.156,                 1.3938,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.1078,                0.72954,                 1.1531,                0.49269,                0.44383,                0.36778,                 0.1384,                 2.3259,                  1.576,                 1.7171,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.0948,                0.70074,                 1.1387,                 0.6231,                0.47699,                0.51775,                 0.2246,                 2.0323,                 1.3098,                 1.5344,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.0746,                 0.7071,                 1.1214,                0.59076,                0.45282,                0.48161,                0.23276,                 1.8803,                 1.3478,                 1.4579,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.0728,                0.70331,                 1.1211,                0.64134,                0.42848,                0.49749,                0.24036,                 1.8789,                 1.2541,                  1.456,               0.001802,               0.001802,               0.001802
                     63,                 1.0691,                0.70097,                   1.12,                0.57253,                0.43831,                0.47101,                0.21273,                 1.9762,                 1.4403,                 1.4843,              0.0017987,              0.0017987,              0.0017987
                     64,                 1.0565,                0.70295,                  1.122,                0.65959,                0.48312,                0.54131,                0.24714,                 1.9008,                 1.1962,                 1.4739,              0.0017954,              0.0017954,              0.0017954
                     65,                 1.0566,                0.69705,                 1.1225,                0.51721,                0.41682,                0.42574,                0.18149,                  2.142,                 1.4101,                 1.6094,              0.0017921,              0.0017921,              0.0017921
                     66,                   1.07,                0.68902,                 1.1315,                0.57296,                0.43278,                0.47247,                0.19245,                 2.1945,                 1.3782,                 1.6572,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.0496,                0.68855,                 1.1197,                0.44382,                0.36587,                0.34725,                0.14361,                 2.1527,                 1.7781,                 1.6236,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.0206,                0.66837,                 1.1048,                0.61524,                0.50357,                0.53935,                0.24628,                 1.9416,                 1.2507,                 1.4619,              0.0017822,              0.0017822,              0.0017822
                     69,                  1.052,                0.68447,                 1.1265,                0.45045,                0.41928,                 0.3808,                 0.1482,                 2.2238,                 1.6803,                 1.7389,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.0746,                 0.7018,                 1.1242,                0.66208,                0.46347,                0.52379,                0.24819,                 1.8483,                 1.2593,                 1.4516,              0.0017756,              0.0017756,              0.0017756
