                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2519,                0.85675,                 1.2276,                0.52595,                0.40331,                 0.4494,                0.19878,                 1.9634,                 1.4745,                 1.4884,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.2586,                0.86293,                 1.2273,                0.33929,                0.28484,                0.24634,                0.09785,                 2.4146,                 1.8135,                  1.835,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.2289,                0.84443,                 1.2056,                0.31815,                0.32413,                0.26899,                0.10135,                  2.428,                 1.8029,                 1.8397,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.2038,                0.84934,                 1.2118,                0.17774,                0.09085,                0.05716,                0.01929,                  3.199,                 2.9945,                 2.3168,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.2268,                0.84253,                 1.2014,                0.42612,                0.23389,                0.24381,                0.10647,                 2.3242,                 2.0927,                 1.7693,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.2343,                0.84178,                 1.2135,                0.41845,                0.35482,                0.33883,                0.14159,                 2.2426,                 1.6293,                 1.7333,              0.0018746,              0.0018746,              0.0018746
                     41,                  1.211,                0.81927,                 1.1967,                0.29518,                0.18539,                0.14976,                0.05203,                 3.0047,                 2.0254,                 2.0936,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.1795,                0.80293,                 1.1886,                0.33435,                0.30619,                0.26613,                0.09706,                 2.3707,                 1.9313,                 1.8276,               0.001868,               0.001868,               0.001868
                     43,                 1.1828,                0.81236,                 1.1838,                0.43635,                0.21731,                0.24765,                0.08577,                 2.6178,                 1.8427,                 1.8974,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.1715,                0.80597,                 1.1834,                  0.437,                0.34212,                0.32326,                0.12121,                 2.3908,                 1.9733,                 1.7821,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.1544,                0.78045,                 1.1713,                0.17364,                0.14189,                0.08319,                0.02194,                 3.0779,                 3.6998,                 2.2868,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.1641,                 0.7858,                 1.1669,                0.23191,                0.21424,                0.17247,                0.06084,                 2.7938,                 2.1039,                 1.9422,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.1522,                0.78198,                 1.1733,                 0.6341,                0.35912,                0.41528,                0.19553,                 2.0408,                 1.4315,                 1.6104,              0.0018515,              0.0018515,              0.0018515
                     48,                 1.2062,                0.78624,                 1.1901,                0.20944,                0.15224,                 0.1009,                0.02922,                 2.8657,                 2.9702,                 2.1481,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.1654,                0.77615,                 1.1815,                0.34236,                0.33824,                0.24562,                0.09265,                 2.3923,                  2.064,                  1.808,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.1129,                0.74663,                 1.1499,                0.55183,                0.42419,                0.45487,                0.19689,                 2.0361,                 1.4012,                 1.5937,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.1118,                0.76041,                 1.1547,                0.33505,                0.25721,                0.22365,                0.08467,                 2.6471,                 1.7753,                 2.0362,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.1644,                0.76962,                 1.1712,                0.35268,                0.33763,                0.25008,                0.09789,                 2.3358,                 1.8936,                 1.7573,               0.001835,               0.001835,               0.001835
                     53,                 1.1081,                 0.7416,                 1.1382,                 0.6423,                0.43462,                0.48187,                0.21406,                   2.05,                 1.3333,                 1.6011,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.0973,                0.73972,                 1.1432,                0.49274,                 0.3892,                0.40814,                0.19661,                 1.9966,                 1.4929,                 1.5823,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.1114,                0.74336,                 1.1351,                0.51858,                0.38613,                0.38922,                0.16262,                 2.1564,                 1.6489,                 1.6656,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.0981,                0.72574,                  1.147,                0.43633,                0.39165,                0.37797,                0.16941,                 2.1852,                  1.632,                 1.7239,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.0955,                0.71815,                 1.1374,                0.44107,                0.33211,                0.33037,                0.13194,                  2.399,                 1.6471,                 1.8206,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.0971,                0.71716,                 1.1416,                0.59152,                0.42787,                0.48181,                0.19598,                 2.1803,                  1.384,                 1.6851,              0.0018152,              0.0018152,              0.0018152
