                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4423,                 1.0889,                 1.3555,                0.00024,                0.00246,                0.00137,                0.00082,                  4.551,                 6.0319,                 3.2545,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.4327,                 1.0828,                 1.3538,                0.00024,                0.00246,                0.00137,                0.00082,                 4.5423,                  7.603,                 2.7359,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.4429,                 1.0995,                 1.3511,                0.00143,                0.00184,                0.00072,                 0.0001,                 4.0517,                 6.1367,                 2.5693,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.4155,                 1.0644,                 1.3458,                0.01243,                0.01412,                0.01146,                0.00379,                 3.4115,                 6.7165,                 2.7454,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.3753,                  1.036,                 1.3121,                0.01243,                0.01412,                0.01146,                0.00379,                 5.5363,                 6.3676,                 4.5846,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.4012,                 1.0569,                 1.3315,                0.00597,                0.00123,                0.00032,                0.00012,                 3.6761,                 5.4026,                   2.88,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.3763,                 1.0176,                 1.3068,                0.00597,                0.00123,                0.00032,                0.00012,                 4.1363,                 6.8401,                  3.541,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.4014,                 1.0511,                 1.3367,                 0.3052,                0.00061,                0.00531,                0.00516,                 4.4478,                 6.2225,                 2.6542,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.4178,                 1.0647,                 1.3291,                0.65016,                0.00246,                0.00339,                0.00194,                    4.5,                 6.4517,                 2.5553,               0.001868,               0.001868,               0.001868
                     43,                 1.3631,                 1.0085,                 1.3077,                0.00013,                 0.0043,                  7e-05,                  2e-05,                 5.1356,                 6.3483,                 2.9873,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.3638,                  1.008,                 1.2896,                0.00096,                0.03745,                 0.0005,                0.00014,                 3.7279,                 5.2823,                 3.1148,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.3703,                 1.0084,                 1.3016,                0.01818,                0.00307,                0.00915,                 0.0022,                 4.4349,                 6.3707,                 3.7379,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.3615,                0.99753,                 1.3036,                0.01818,                0.00307,                0.00915,                 0.0022,                 6.3011,                  7.808,                 7.5638,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.3317,                0.95689,                 1.2934,                0.00504,                0.00246,                0.00265,                0.00065,                 4.4236,                  6.629,                 4.0399,              0.0018515,              0.0018515,              0.0018515
                     48,                  1.354,                 0.9949,                 1.2816,                0.00318,                0.00246,                0.00162,                0.00053,                 4.7766,                 6.3283,                 4.3011,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.3564,                 1.0002,                 1.2919,                0.00351,                 0.0043,                0.00177,                0.00051,                 4.1002,                 6.5826,                 3.0802,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.3393,                0.97464,                 1.2924,                0.03571,                0.00123,                0.01815,                 0.0127,                  4.536,                 6.3809,                 3.2171,              0.0018416,              0.0018416,              0.0018416
                     51,                  1.356,                0.97676,                 1.2967,                0.03571,                0.00123,                0.01815,                 0.0127,                 4.8147,                 5.7555,                 3.0697,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.3441,                0.97201,                  1.299,                0.03571,                0.00123,                0.01815,                 0.0127,                 4.6088,                 6.6768,                 2.6556,               0.001835,               0.001835,               0.001835
                     53,                 1.3279,                0.96392,                  1.282,                0.00058,                0.01289,                0.00196,                0.00181,                 4.6499,                 5.7441,                 2.8707,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.3256,                0.94554,                 1.2719,                0.00058,                0.01289,                0.00196,                0.00181,                 4.5969,                 6.4125,                 2.8326,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.3007,                0.93929,                 1.2707,                0.00058,                0.01289,                0.00196,                0.00181,                 4.8262,                 6.2326,                 4.4144,              0.0018251,              0.0018251,              0.0018251
                     56,                  1.335,                0.95082,                 1.2776,                  3e-05,                0.00061,                  1e-05,                      0,                  4.465,                 5.1374,                 4.4319,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.3004,                0.92584,                 1.2609,                  1e-05,                0.00061,                  1e-05,                      0,                  5.431,                 7.3307,                 4.2673,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.2975,                0.90729,                 1.2591,                  1e-05,                0.00061,                  1e-05,                      0,                 4.2603,                 7.6528,                 3.1191,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.3345,                0.92892,                 1.2932,                 0.0032,                0.05341,                0.00174,                0.00055,                 3.9043,                 6.1996,                  4.094,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.2818,                0.90791,                 1.2382,                  2e-05,                0.00123,                0.00057,                0.00012,                 4.3979,                 5.2881,                 2.5799,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.3301,                0.93536,                 1.2592,                0.00061,                 0.0356,                0.00032,                  7e-05,                 4.3799,                 5.8723,                 2.5619,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.3322,                0.94817,                 1.2667,                0.00272,                0.00307,                0.00041,                0.00013,                 4.0284,                 7.0389,                  2.818,               0.001802,               0.001802,               0.001802
                     63,                  1.305,                0.93782,                 1.2728,                0.01342,                0.00368,                0.00917,                0.00469,                 3.8404,                 7.5889,                 3.4749,              0.0017987,              0.0017987,              0.0017987
                     64,                 1.2557,                 0.9095,                 1.2421,                0.02306,                0.00675,                0.01649,                0.00601,                 5.0108,                 7.0304,                   4.47,              0.0017954,              0.0017954,              0.0017954
                     65,                 1.2619,                0.89677,                 1.2289,                0.01717,                0.00491,                 0.0087,                 0.0023,                 4.7187,                 6.5362,                 4.1066,              0.0017921,              0.0017921,              0.0017921
                     66,                 1.2739,                0.90735,                 1.2682,                0.01717,                0.00491,                 0.0087,                 0.0023,                 4.0408,                 7.5065,                 3.4249,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.2558,                0.88709,                  1.242,                0.00114,                 0.0264,                 0.0006,                0.00012,                  4.276,                 6.1124,                 2.6285,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.2583,                0.88664,                 1.2281,                0.00117,                0.01228,                0.00082,                0.00049,                 3.5645,                 6.1088,                 2.7599,              0.0017822,              0.0017822,              0.0017822
                     69,                 1.2625,                0.88256,                 1.2356,                0.01176,                0.00061,                0.00601,                0.00421,                 4.4494,                 6.7138,                 4.6336,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.2612,                0.87896,                 1.2399,                0.01176,                0.00061,                0.00601,                0.00421,                 4.6293,                 6.4196,                 2.5671,              0.0017756,              0.0017756,              0.0017756
                     71,                 1.2324,                0.85213,                 1.2087,                0.00768,                0.00368,                0.00386,                  0.002,                 4.1602,                 6.7946,                 4.5251,              0.0017723,              0.0017723,              0.0017723
                     72,                  1.223,                0.86795,                 1.2169,                0.76842,                0.00307,                0.00435,                0.00386,                 4.3297,                 5.7343,                 2.6704,               0.001769,               0.001769,               0.001769
                     73,                 1.2416,                0.85676,                  1.227,                0.00085,                0.02578,                0.00049,                0.00015,                 4.5378,                 5.5401,                 2.9422,              0.0017657,              0.0017657,              0.0017657
                     74,                 1.2341,                0.85715,                 1.2287,                  6e-05,                0.00307,                  6e-05,                  3e-05,                 4.4455,                 6.3954,                 2.5471,              0.0017624,              0.0017624,              0.0017624
                     75,                  1.243,                0.85464,                 1.2234,                0.00043,                0.00061,                0.00014,                  3e-05,                 4.6586,                 6.7206,                 2.8071,              0.0017591,              0.0017591,              0.0017591
                     76,                 1.2407,                0.85932,                 1.2221,                0.04537,                0.00491,                0.00437,                0.00377,                  4.256,                 6.4126,                 2.8137,              0.0017558,              0.0017558,              0.0017558
                     77,                 1.2135,                0.83109,                  1.209,                0.04537,                0.00491,                0.00437,                0.00377,                 3.7991,                 7.2714,                  4.475,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.2097,                0.82872,                 1.2077,                0.21705,                0.01719,                0.12158,                0.06684,                 3.9587,                 6.6033,                 3.9213,              0.0017492,              0.0017492,              0.0017492
                     79,                 1.2085,                0.84785,                  1.219,                 0.0023,                0.00123,                0.00124,                0.00046,                  4.253,                 6.7913,                 2.8615,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.2153,                0.82927,                 1.1944,                  6e-05,                0.00246,                  4e-05,                  1e-05,                  4.076,                 5.8724,                 2.8034,              0.0017426,              0.0017426,              0.0017426
                     81,                 1.1971,                0.82524,                 1.1924,                 0.0014,                0.00061,                0.00071,                0.00021,                 3.8615,                 7.4184,                 3.2979,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.1973,                0.81453,                 1.1951,                  9e-05,                0.00307,                  5e-05,                  3e-05,                 4.7443,                 6.6765,                 2.8821,               0.001736,               0.001736,               0.001736
                     83,                 1.2118,                0.83337,                 1.2065,                  4e-05,                0.00184,                0.00127,                0.00026,                 4.8436,                 6.3393,                 2.9987,              0.0017327,              0.0017327,              0.0017327
                     84,                 1.2127,                   0.83,                  1.212,                0.00927,                0.00061,                0.00035,                0.00015,                 4.5973,                 7.1269,                 3.0023,              0.0017294,              0.0017294,              0.0017294
                     85,                 1.1867,                0.82258,                 1.1953,                0.00272,                0.01228,                0.00187,                 0.0007,                 4.3742,                 7.3872,                 3.3157,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.1843,                0.81022,                 1.1999,                0.00044,                0.00307,                0.00022,                  7e-05,                 4.6214,                 6.9509,                 2.5522,              0.0017228,              0.0017228,              0.0017228
                     87,                 1.1974,                0.81814,                 1.1895,                  2e-05,                0.00123,                  2e-05,                  1e-05,                 4.8456,                 8.2713,                 2.6363,              0.0017195,              0.0017195,              0.0017195
                     88,                  1.171,                0.81019,                 1.1807,                0.06037,                0.00614,                0.00528,                0.00516,                  4.731,                 5.9215,                 3.7361,              0.0017162,              0.0017162,              0.0017162
                     89,                 1.1894,                0.81306,                 1.1966,                 0.0512,                0.01351,                 0.0061,                0.00389,                 4.3874,                 4.0353,                 3.5117,              0.0017129,              0.0017129,              0.0017129
                     90,                 1.1908,                0.81656,                 1.1914,                 0.0512,                0.01351,                 0.0061,                0.00389,                 4.5096,                  6.802,                 2.8624,              0.0017096,              0.0017096,              0.0017096
                     91,                 1.2019,                0.81325,                 1.2006,                0.34858,                0.04543,                0.05552,                0.01564,                 3.1567,                 4.7551,                 2.9293,              0.0017063,              0.0017063,              0.0017063
                     92,                 1.1837,                0.79514,                 1.1906,                0.48404,                 0.0288,                0.04061,                0.01345,                 3.3387,                 4.7412,                 2.6175,               0.001703,               0.001703,               0.001703
