                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88364,                0.62266,                 1.0189,                0.53809,                0.47699,                0.48497,                0.25812,                 1.6738,                 1.3661,                 1.4522,              0.0018911,              0.0018911,              0.0018911
                     36,                0.87698,                0.62757,                 1.0166,                 0.6742,                0.56906,                 0.6183,                0.33829,                 1.4942,                 1.1063,                 1.2933,              0.0018878,              0.0018878,              0.0018878
                     37,                0.86525,                0.62011,                 1.0176,                  0.632,                0.52916,                0.57961,                0.31237,                 1.6103,                 1.2043,                 1.3674,              0.0018845,              0.0018845,              0.0018845
                     38,                0.86821,                0.61027,                 1.0186,                0.65157,                0.56354,                 0.5845,                0.32662,                 1.5275,                 1.1327,                 1.3197,              0.0018812,              0.0018812,              0.0018812
                     39,                0.84616,                0.60117,                 1.0145,                0.60095,                0.50031,                0.52861,                0.29906,                 1.5883,                 1.2571,                 1.4029,              0.0018779,              0.0018779,              0.0018779
                     40,                0.84869,                0.60457,                 1.0107,                0.55955,                0.51688,                0.51873,                0.28166,                 1.6507,                 1.3159,                 1.4204,              0.0018746,              0.0018746,              0.0018746
                     41,                0.84361,                0.59728,                 1.0026,                0.57294,                 0.5046,                0.51198,                0.28184,                 1.5953,                 1.2751,                 1.4004,              0.0018713,              0.0018713,              0.0018713
                     42,                0.84035,                0.59418,                 1.0104,                0.58855,                0.55187,                0.55972,                0.30251,                 1.5754,                 1.1998,                 1.3836,               0.001868,               0.001868,               0.001868
                     43,                0.86391,                0.61038,                 1.0249,                0.57092,                0.51565,                0.51928,                 0.2831,                 1.6316,                 1.2879,                 1.4334,              0.0018647,              0.0018647,              0.0018647
                     44,                 0.8089,                0.56719,                0.99086,                0.56121,                0.54696,                0.53865,                0.27924,                 1.7208,                  1.294,                 1.4753,              0.0018614,              0.0018614,              0.0018614
                     45,                0.81167,                0.56155,                0.99682,                0.57003,                0.49645,                0.49734,                0.25913,                 1.6877,                 1.3139,                 1.5142,              0.0018581,              0.0018581,              0.0018581
                     46,                0.84016,                0.57934,                 1.0021,                0.58845,                0.51875,                0.55041,                0.29806,                 1.5931,                 1.2208,                 1.3851,              0.0018548,              0.0018548,              0.0018548
                     47,                0.82444,                0.56836,                0.99335,                0.57177,                0.54671,                 0.5546,                0.29782,                 1.6043,                 1.2398,                 1.3878,              0.0018515,              0.0018515,              0.0018515
                     48,                0.83871,                0.58283,                 1.0054,                0.59081,                0.53591,                0.54806,                0.29907,                 1.5898,                 1.2355,                 1.4324,              0.0018482,              0.0018482,              0.0018482
                     49,                0.81332,                0.56347,                0.99196,                0.57391,                0.54205,                0.55176,                0.30579,                 1.5019,                 1.2434,                 1.3237,              0.0018449,              0.0018449,              0.0018449
                     50,                0.81822,                0.56488,                0.99791,                0.59656,                0.51197,                0.53851,                0.29685,                 1.6149,                 1.2105,                 1.4286,              0.0018416,              0.0018416,              0.0018416
                     51,                0.82443,                0.58198,                 1.0013,                0.60382,                0.51381,                0.53777,                0.30334,                 1.5992,                 1.2071,                 1.3887,              0.0018383,              0.0018383,              0.0018383
                     52,                0.81697,                0.56059,                0.99475,                0.61819,                0.51934,                0.55901,                0.29085,                 1.6777,                 1.2408,                 1.4501,               0.001835,               0.001835,               0.001835
                     53,                0.81083,                0.56516,                0.99274,                0.56137,                0.48496,                0.50127,                0.26668,                 1.5983,                   1.33,                 1.4027,              0.0018317,              0.0018317,              0.0018317
                     54,                 0.8006,                0.54902,                0.98403,                0.50861,                0.44813,                0.43783,                0.23823,                 1.6693,                 1.4873,                 1.5001,              0.0018284,              0.0018284,              0.0018284
                     55,                0.80706,                0.55248,                0.98044,                0.51916,                0.50902,                0.48047,                0.26002,                 1.6587,                 1.3958,                 1.4524,              0.0018251,              0.0018251,              0.0018251
                     56,                0.78329,                0.55965,                0.98175,                0.59317,                 0.5709,                0.56243,                0.30454,                 1.5642,                 1.2121,                 1.3755,              0.0018218,              0.0018218,              0.0018218
                     57,                0.79508,                0.54121,                0.98763,                0.63025,                0.53959,                0.58086,                  0.319,                  1.569,                 1.1886,                 1.3851,              0.0018185,              0.0018185,              0.0018185
                     58,                0.78147,                0.54177,                0.97751,                0.56109,                0.54021,                0.55367,                0.30693,                 1.5835,                 1.2239,                 1.3984,              0.0018152,              0.0018152,              0.0018152
                     59,                0.78915,                0.53872,                0.97322,                0.56328,                0.51387,                0.53589,                0.29617,                 1.5844,                 1.2402,                 1.4102,              0.0018119,              0.0018119,              0.0018119
                     60,                0.75566,                0.52924,                 0.9651,                0.62489,                0.56661,                0.58373,                0.31975,                 1.5797,                 1.1625,                 1.3734,              0.0018086,              0.0018086,              0.0018086
                     61,                0.77289,                0.52917,                0.97588,                0.61202,                0.54324,                 0.5572,                0.30713,                 1.5295,                 1.2123,                 1.3221,              0.0018053,              0.0018053,              0.0018053
                     62,                0.77973,                0.53128,                0.96941,                0.56339,                0.53959,                0.54196,                0.30492,                 1.5563,                 1.2524,                 1.3429,               0.001802,               0.001802,               0.001802
                     63,                0.76135,                0.53396,                0.96804,                0.54178,                0.52732,                0.51362,                0.26796,                 1.6552,                 1.3376,                 1.4585,              0.0017987,              0.0017987,              0.0017987
                     64,                0.77522,                0.53148,                0.97244,                0.59234,                0.49355,                0.51869,                0.26205,                 1.7059,                  1.333,                 1.4558,              0.0017954,              0.0017954,              0.0017954
                     65,                0.76789,                0.52905,                0.96524,                0.54554,                0.45058,                0.48852,                0.26453,                 1.6367,                 1.4684,                 1.4334,              0.0017921,              0.0017921,              0.0017921
                     66,                0.75676,                0.51805,                0.96426,                0.54131,                0.48189,                0.49463,                0.26755,                 1.7439,                 1.4513,                 1.4818,              0.0017888,              0.0017888,              0.0017888
                     67,                 0.7596,                0.52566,                  0.959,                0.60011,                0.56231,                0.56936,                0.30902,                 1.5707,                 1.2135,                 1.3739,              0.0017855,              0.0017855,              0.0017855
                     68,                0.75405,                0.50985,                0.96667,                0.59356,                 0.5353,                0.55612,                0.30409,                 1.5594,                 1.2307,                 1.3767,              0.0017822,              0.0017822,              0.0017822
                     69,                0.76177,                0.50732,                0.96671,                 0.5774,                0.51918,                0.52489,                0.28372,                 1.6251,                 1.3117,                 1.4403,              0.0017789,              0.0017789,              0.0017789
                     70,                 0.7305,                0.48452,                0.94811,                0.59534,                0.54512,                0.53675,                0.29211,                   1.58,                 1.3131,                 1.4261,              0.0017756,              0.0017756,              0.0017756
                     71,                0.76717,                0.51303,                0.97556,                0.64271,                0.57888,                0.60017,                0.31695,                 1.6091,                 1.1223,                 1.4335,              0.0017723,              0.0017723,              0.0017723
                     72,                0.72723,                0.49885,                0.95279,                0.65375,                0.54451,                 0.5802,                0.30652,                 1.5745,                  1.192,                 1.3795,               0.001769,               0.001769,               0.001769
                     73,                0.74134,                0.49826,                   0.95,                0.57789,                0.54266,                 0.5591,                0.31301,                 1.5382,                 1.2067,                 1.3452,              0.0017657,              0.0017657,              0.0017657
                     74,                0.74678,                0.51101,                0.95871,                0.55034,                0.51381,                0.51603,                 0.2838,                 1.6305,                 1.3731,                 1.4081,              0.0017624,              0.0017624,              0.0017624
                     75,                0.73592,                0.49763,                0.95228,                0.53623,                0.51074,                0.49725,                0.27095,                 1.6642,                 1.3912,                 1.4715,              0.0017591,              0.0017591,              0.0017591
                     76,                0.71725,                0.49825,                0.94666,                0.61316,                0.51565,                0.55515,                0.30544,                 1.6279,                 1.2374,                 1.4366,              0.0017558,              0.0017558,              0.0017558
                     77,                0.73637,                 0.5071,                0.95402,                0.58774,                0.51197,                0.52506,                0.28109,                 1.6187,                 1.2847,                 1.4052,              0.0017525,              0.0017525,              0.0017525
                     78,                0.72379,                0.49557,                0.94981,                0.64236,                0.54021,                0.58341,                0.31756,                 1.5363,                 1.1557,                 1.3507,              0.0017492,              0.0017492,              0.0017492
                     79,                0.71834,                0.49052,                0.95662,                 0.5939,                0.56661,                0.57157,                0.31565,                 1.5934,                 1.1974,                 1.4334,              0.0017459,              0.0017459,              0.0017459
                     80,                0.73435,                0.48849,                0.94632,                0.58284,                0.53346,                0.53794,                 0.2938,                 1.6228,                 1.2491,                 1.4561,              0.0017426,              0.0017426,              0.0017426
                     81,                0.74216,                0.49179,                0.95834,                0.57438,                0.53019,                0.53801,                0.28126,                 1.6933,                 1.2748,                  1.463,              0.0017393,              0.0017393,              0.0017393
                     82,                0.73385,                0.49322,                0.95348,                0.57453,                 0.5488,                0.56751,                0.31141,                 1.5755,                 1.2222,                 1.3993,               0.001736,               0.001736,               0.001736
                     83,                0.72736,                0.48238,                0.94477,                0.62694,                0.52363,                0.55525,                0.30119,                 1.6257,                 1.2529,                 1.4553,              0.0017327,              0.0017327,              0.0017327
                     84,                0.71986,                0.50143,                0.94911,                0.64409,                0.44015,                0.50113,                0.26778,                 1.6989,                 1.3508,                 1.5311,              0.0017294,              0.0017294,              0.0017294
                     85,                0.72819,                0.50034,                0.95168,                0.48027,                0.51677,                0.47118,                0.26132,                 1.7088,                 1.3735,                 1.5187,              0.0017261,              0.0017261,              0.0017261
                     86,                0.72259,                0.49425,                0.94583,                0.55849,                 0.5531,                0.52704,                0.28473,                 1.6299,                 1.2586,                 1.4371,              0.0017228,              0.0017228,              0.0017228
